Date,montoSpei,montoCodi,tc
30/09/2019,"591,819,872,132","187,009",19.6808
1/10/2019,"399,300,877,736","311,813",19.7345
2/10/2019,"347,345,747,950","360,606",19.7792
3/10/2019,"355,588,329,503","399,780",19.7985
4/10/2019,"375,419,478,809","398,796",19.7368
5/10/2019,"3,023,572,523","345,316",N/E
6/10/2019,"919,151,358","163,872",N/E
7/10/2019,"386,172,005,337","624,991",19.5255
8/10/2019,"320,907,997,801","527,727",19.5522
9/10/2019,"320,985,979,167","605,193",19.584
10/10/2019,"385,168,005,726","577,209",19.5689
11/10/2019,"397,588,748,875","464,555",19.4764
12/10/2019,"3,034,973,947","563,216",N/E
13/10/2019,"972,067,233","243,721",N/E
14/10/2019,"312,316,259,731","838,965",19.3217
15/10/2019,"397,247,596,619","1,069,213",19.2652
16/10/2019,"348,903,833,539","859,948",19.252
17/10/2019,"400,746,336,663","775,163",19.2135
18/10/2019,"383,230,376,744","743,314",19.1602
19/10/2019,"2,964,290,713","333,801",N/E
20/10/2019,"968,300,471","275,351",N/E
21/10/2019,"399,801,438,681","535,767",19.1492
22/10/2019,"310,478,325,702","967,330",19.1422
23/10/2019,"317,438,329,365","503,909",19.105
24/10/2019,"352,781,604,649","745,018",19.1258
25/10/2019,"378,225,617,243","722,181",19.0878
26/10/2019,"3,038,682,779","417,800",N/E
27/10/2019,"966,418,275","245,675",N/E
28/10/2019,"384,931,004,391","623,474",19.082
29/10/2019,"367,933,216,674","797,234",19.0543
30/10/2019,"414,735,485,597","1,465,232",19.1167
31/10/2019,"536,527,843,702","1,545,313",19.1643
1/11/2019,"387,304,180,613","1,478,850",19.1948
2/11/2019,"2,764,382,707","565,142",N/E
3/11/2019,"1,249,554,134","576,343",N/E
4/11/2019,"365,680,550,500","1,269,475",19.1058
5/11/2019,"323,215,846,220","1,110,812",19.1525
6/11/2019,"319,855,067,578","1,295,271",19.2125
7/11/2019,"387,888,182,173","1,246,404",19.1953
8/11/2019,"369,354,998,037","1,268,812",19.1327
9/11/2019,"3,355,383,116","805,039",N/E
10/11/2019,"1,129,986,494","538,674",N/E
11/11/2019,"322,586,212,312","1,348,930",19.1068
12/11/2019,"326,005,583,049","1,341,054",19.109
13/11/2019,"371,382,745,625","1,390,373",19.2178
14/11/2019,"438,240,703,549","2,324,687",19.4543
15/11/2019,"451,762,993,615","1,680,075",19.4228
16/11/2019,"4,638,281,370","1,429,651",N/E
17/11/2019,"1,477,999,022","898,453",N/E
18/11/2019,"2,836,488,465","1,096,798",N/E
19/11/2019,"539,994,389,812","2,068,354",19.2063
20/11/2019,"405,923,270,434","1,463,983",19.3687
21/11/2019,"421,907,816,962","1,137,560",19.48
22/11/2019,"412,298,222,053","1,192,750",19.4138
23/11/2019,"3,478,807,102","601,412",N/E
24/11/2019,"1,124,401,667","534,014",N/E
25/11/2019,"391,349,832,172","1,025,630",19.3987
26/11/2019,"355,604,159,265","997,632",19.4468
27/11/2019,"417,924,850,704","1,215,958",19.5185
28/11/2019,"409,633,848,638","1,648,807",19.5607
29/11/2019,"590,449,795,543","2,157,269",19.6113
30/11/2019,"7,181,202,780","1,538,524",N/E
1/12/2019,"1,968,683,732","844,112",N/E
2/12/2019,"494,702,393,643","1,892,060",19.5352
3/12/2019,"365,474,338,809","1,841,098",19.5717
4/12/2019,"367,341,532,567","1,827,202",19.5678
5/12/2019,"472,226,087,866","1,791,066",19.4707
6/12/2019,"443,605,870,299","1,705,883",19.3688
7/12/2019,"4,157,463,865","1,097,300",N/E
8/12/2019,"1,421,400,006","674,201",N/E
9/12/2019,"414,512,274,567","1,534,450",19.3247
10/12/2019,"405,844,242,897","1,415,801",19.2302
11/12/2019,"466,796,969,128","1,600,927",19.2362
12/12/2019,"12,226,647,635","1,309,697",N/E
13/12/2019,"588,845,921,715","2,122,841",19.1785
14/12/2019,"6,124,576,269","2,063,262",N/E
15/12/2019,"2,375,932,207","1,153,932",N/E
16/12/2019,"526,877,905,800","1,673,806",19.0455
17/12/2019,"443,266,578,650","1,479,430",18.9702
18/12/2019,"485,360,246,091","1,400,837",18.9165
19/12/2019,"473,348,382,345","1,479,425",18.9542
20/12/2019,"579,143,754,877","1,479,143",18.964
21/12/2019,"5,621,576,389","997,738",N/E
22/12/2019,"1,688,836,780","759,666",N/E
23/12/2019,"523,298,768,670","1,207,389",18.9133
24/12/2019,"322,758,926,566","1,003,458",18.9385
25/12/2019,"1,198,377,338","465,719",N/E
26/12/2019,"433,810,074,011","1,058,208",18.9643
27/12/2019,"477,574,205,924","1,156,069",18.9445
28/12/2019,"6,322,023,200","1,335,449",N/E
29/12/2019,"1,673,733,684","1,588,503",N/E
30/12/2019,"595,909,064,263","1,390,091",18.8452
31/12/2019,"534,519,442,806","1,130,198",18.8727
1/1/2020,"1,758,232,514","592,867",N/E
2/1/2020,"454,142,382,960","1,265,123",18.8642
3/1/2020,"345,896,558,358","1,247,464",18.8817
4/1/2020,"3,689,216,854","829,770",N/E
5/1/2020,"1,459,197,082","555,412",N/E
6/1/2020,"375,767,166,781","1,153,693",18.8673
7/1/2020,"335,469,626,601","1,023,824",18.827
8/1/2020,"380,166,589,749","1,026,674",18.8852
9/1/2020,"365,711,908,202","1,165,581",18.798
10/1/2020,"416,099,554,363","1,287,582",18.8453
11/1/2020,"3,718,844,481","757,062",N/E
12/1/2020,"1,164,489,256","567,656",N/E
13/01/2020,"429,702,606,820","1,218,980",18.7732
14/01/2020,"395,895,002,878","1,561,123",18.8215
15/01/2020,"379,215,918,197","2,035,810",18.812
16/01/2020,"389,133,695,005","1,395,791",18.8077
17/01/2020,"409,834,898,510","1,496,564",18.793
18/01/2020,"3,670,653,344","992,634",N/E
19/01/2020,"1,217,341,886","522,243",N/E
20/01/2020,"424,851,019,278","901,905",18.7388
21/01/2020,"316,376,830,457","1,113,628",18.6725
22/01/2020,"342,392,558,818","890,756",18.7007
23/01/2020,"379,768,545,640","1,122,344",18.6883
24/01/2020,"346,764,737,638","1,172,053",18.8018
25/01/2020,"3,456,446,670","681,032",N/E
26/01/2020,"1,157,002,509","603,883",N/E
27/01/2020,"386,900,276,645","1,113,884",18.8313
28/01/2020,"336,442,962,391","1,097,301",18.9407
29/01/2020,"383,998,181,056","1,293,211",18.8022
30/01/2020,"430,903,726,296","2,219,620",18.7067
31/01/2020,"537,645,649,946","2,237,360",18.7853
1/2/2020,"4,423,943,137","1,412,004",N/E
2/2/2020,"1,339,875,153","860,346",N/E
3/2/2020,"3,346,427,292","1,196,368",N/E
4/2/2020,"487,606,705,731","1,772,088",18.9082
5/2/2020,"375,074,302,999","1,307,611",18.6797
6/2/2020,"357,157,163,557","1,400,757",18.6245
7/2/2020,"416,977,163,127","1,744,486",18.6645
8/2/2020,"3,657,244,559","860,038",N/E
9/2/2020,"1,200,046,769","519,073",N/E
10/2/2020,"363,434,258,449","1,406,398",18.7763
11/2/2020,"332,288,187,216","1,174,722",18.7653
12/2/2020,"339,224,770,241","1,110,328",18.674
13/02/2020,"386,777,488,328","1,674,209",18.6308
14/02/2020,"428,312,227,934","2,763,147",18.6458
15/02/2020,"4,890,329,464","1,649,123",N/E
16/02/2020,"1,726,347,510","1,094,866",N/E
17/02/2020,"374,547,445,320","1,682,350",18.5712
18/02/2020,"349,846,561,754","1,512,326",18.5715
19/02/2020,"328,183,069,272","1,309,191",18.5952
20/02/2020,"399,626,839,082","1,218,852",18.591
21/02/2020,"355,476,538,906","1,351,720",18.7992
22/02/2020,"3,560,136,075","1,007,164",N/E
23/02/2020,"1,124,717,782","821,054",N/E
24/02/2020,"381,666,248,573","1,212,146",18.9138
25/02/2020,"351,267,440,561","1,241,856",19.1197
26/02/2020,"350,025,115,378","1,273,226",19.0878
27/02/2020,"443,278,824,866","1,795,596",19.1585
28/02/2020,"640,945,507,611","2,969,823",19.3973
29/02/2020,"6,415,138,959","1,716,613",N/E
1/3/2020,"2,053,120,079","1,206,983",N/E
2/3/2020,"454,582,971,246","2,221,781",19.776
3/3/2020,"343,782,353,270","1,724,631",19.6985
4/3/2020,"360,205,578,375","1,575,829",19.2837
5/3/2020,"409,141,692,112","1,469,677",19.5335
6/3/2020,"404,530,995,796","1,713,502",19.8095
7/3/2020,"3,951,473,872","1,119,135",N/E
8/3/2020,"1,224,151,808","784,508",N/E
9/3/2020,"354,018,863,760","1,457,954",20.1623
10/3/2020,"390,712,981,539","2,194,404",21.1117
11/3/2020,"407,685,731,182","1,704,615",21.0267
12/3/2020,"466,434,536,748","1,916,406",21.213
13/03/2020,"504,840,078,276","3,483,314",22.1518
14/03/2020,"5,324,507,723","1,828,959",N/E
15/03/2020,"1,774,465,568","1,165,115",N/E
16/03/2020,"3,767,943,179","1,504,092",N/E
17/03/2020,"582,713,514,007","2,416,410",21.9288
18/03/2020,"506,907,121,855","1,754,400",23.0573
19/03/2020,"483,821,324,489","2,058,707",23.9008
20/03/2020,"466,923,469,221","1,941,456",24.0868
21/03/2020,"4,359,629,510","1,443,693",N/E
22/03/2020,"1,227,625,326","815,496",N/E
23/03/2020,"472,514,696,551","3,260,495",24.1113
24/03/2020,"437,747,018,263","2,457,953",25.0782
25/03/2020,"449,604,772,870","1,611,928",25.1185
26/03/2020,"470,576,659,114","1,801,028",24.2948
27/03/2020,"520,957,430,788","2,457,637",23.097
28/03/2020,"4,772,736,770","1,550,930",N/E
29/03/2020,"1,448,620,070","1,466,797",N/E
30/03/2020,"579,097,548,717","4,484,051",23.5122
31/03/2020,"755,258,829,765","2,910,935",24.2853
1/4/2020,"447,960,259,918","2,733,184",23.4847
2/4/2020,"443,042,014,551","3,221,366",24.4918
3/4/2020,"441,259,228,682","2,463,997",24.1087
4/4/2020,"4,218,039,481","1,370,034",N/E
5/4/2020,"1,339,818,956","858,640",N/E
6/4/2020,"455,451,795,077","2,216,537",24.6938
7/4/2020,"416,553,662,340","1,881,939",24.6895
8/4/2020,"504,718,219,140","1,596,748",24.0388
9/4/2020,"6,436,960,612","1,360,117",N/E
10/4/2020,"3,293,711,878","1,068,745",N/E
11/4/2020,"1,917,588,367","813,160",N/E
12/4/2020,"1,034,162,458","715,764",N/E
13/04/2020,"542,035,641,374","1,966,165",24.0925
14/04/2020,"432,597,774,721","2,573,828",23.7427
15/04/2020,"408,259,598,253","2,832,046",23.5645
16/04/2020,"410,383,769,397","2,220,539",24.1155
17/04/2020,"402,761,892,774","2,256,003",24.2098
18/04/2020,"3,667,317,320","1,412,279",N/E
19/04/2020,"1,323,659,709","826,888",N/E
20/04/2020,"514,092,224,354","1,700,087",23.9012
21/04/2020,"366,217,744,961","1,661,610",24.0077
22/04/2020,"345,280,312,114","1,325,672",24.4248
23/04/2020,"421,267,638,478","1,684,775",24.5883
24/04/2020,"365,789,973,014","1,904,375",24.623
25/04/2020,"3,634,933,160","1,270,578",N/E
26/04/2020,"1,209,133,423","860,997",N/E
27/04/2020,"386,321,525,449","1,908,314",24.8583
28/04/2020,"369,050,984,769","2,125,716",24.8492
29/04/2020,"400,194,325,727","3,058,735",24.3882
30/04/2020,"563,093,433,203","3,382,423",24.0002
1/5/2020,"6,767,165,591","2,553,221",N/E
2/5/2020,"3,981,229,834","1,695,813",N/E
3/5/2020,"1,770,262,867","1,362,074",N/E
4/5/2020,"472,752,341,366","3,060,252",23.9283
5/5/2020,"307,327,658,591","2,531,199",24.3812
6/5/2020,"366,830,958,257","2,355,871",23.8343
7/5/2020,"365,636,275,483","2,539,839",24.2942
8/5/2020,"367,835,212,397","2,603,066",24.0563
9/5/2020,"4,032,220,242","1,762,497",N/E
10/5/2020,"1,448,695,597","1,264,129",N/E
11/5/2020,"390,423,215,312","3,272,170",23.6805
12/5/2020,"353,584,201,880","2,309,347",23.8693
13/05/2020,"371,513,465,187","2,774,786",24.0487
14/05/2020,"399,991,069,143","3,440,746",24.2113
15/05/2020,"438,964,484,819","4,200,067",24.2708
16/05/2020,"4,752,036,859","2,121,751",N/E
17/05/2020,"1,823,195,668","1,254,130",N/E
18/05/2020,"453,185,333,458","3,062,002",23.958
19/05/2020,"336,733,922,347","3,138,114",23.6032
20/05/2020,"359,150,765,907","2,385,251",23.6023
21/05/2020,"360,711,427,968","2,723,809",23.2962
22/05/2020,"383,875,534,137","2,964,327",22.96
23/05/2020,"3,927,613,387","1,671,221",N/E
24/05/2020,"1,504,046,324","1,359,888",N/E
25/05/2020,"324,330,999,397","3,556,758",22.7928
26/05/2020,"371,875,312,045","2,839,171",22.563
27/05/2020,"371,490,711,425","2,277,403",22.2932
28/05/2020,"434,145,272,698","3,573,845",22.3633
29/05/2020,"509,222,062,517","4,705,090",22.204
30/05/2020,"7,177,383,791","2,529,683",N/E
31/05/2020,"2,705,154,617","1,955,119",N/E
1/6/2020,"416,541,199,329","4,880,809",22.1778
2/6/2020,"311,159,446,339","3,461,701",22.0168
3/6/2020,"312,023,672,397","2,769,946",21.6827
4/6/2020,"395,286,023,394","2,638,933",21.6043
5/6/2020,"345,940,509,916","3,732,987",21.8388
6/6/2020,"4,169,729,531","2,206,512",N/E
7/6/2020,"1,608,818,740","1,094,769",N/E
8/6/2020,"385,621,054,996","4,074,496",21.5837
9/6/2020,"307,272,886,804","2,861,871",21.6552
10/6/2020,"304,589,776,571","2,381,257",21.7252
11/6/2020,"381,415,761,044","2,814,738",21.923
12/6/2020,"415,406,634,281","3,996,689",22.4252
13/06/2020,"5,078,591,506","2,467,128",N/E
14/06/2020,"2,026,921,370","1,817,344",N/E
15/06/2020,"446,141,357,145","5,043,021",22.3347
16/06/2020,"357,983,342,673","4,138,639",22.5435
17/06/2020,"432,490,756,086","2,610,072",22.2168
18/06/2020,"386,087,541,732","2,720,873",22.2783
19/06/2020,"382,319,417,216","2,926,753",22.6088
20/06/2020,"4,436,405,969","1,807,256",N/E
21/06/2020,"1,472,648,947","1,137,407",N/E
22/06/2020,"412,911,782,529","2,391,635",22.63
23/06/2020,"320,604,093,889","2,023,559",22.4413
24/06/2020,"337,194,829,133","3,125,140",22.413
25/06/2020,"399,152,528,590","2,989,532",22.6662
26/06/2020,"442,502,917,265","3,566,190",22.7963
27/06/2020,"5,236,792,631","2,170,246",N/E
28/06/2020,"1,897,714,920","1,475,830",N/E
29/06/2020,"459,659,068,046","4,792,040",22.9715
30/06/2020,"525,367,227,459","5,195,922",23.1325
1/7/2020,"431,823,150,855","3,983,504",23.0893
2/7/2020,"367,574,243,137","4,312,552",22.8078
3/7/2020,"405,426,055,411","3,653,179",22.5225
4/7/2020,"4,796,623,198","2,489,593",N/E
5/7/2020,"1,975,239,207","1,421,992",N/E
6/7/2020,"419,561,495,146","3,073,179",22.4147
7/7/2020,"351,834,471,984","2,494,236",22.2808
8/7/2020,"328,434,367,742","2,459,194",22.6213
9/7/2020,"338,195,643,234","2,555,395",22.8225
10/7/2020,"353,224,962,672","3,221,210",22.6945
11/7/2020,"4,781,857,830","2,152,607",N/E
12/7/2020,"1,707,380,538","1,244,235",N/E
13/07/2020,"368,678,012,853","5,109,265",22.5342
14/07/2020,"372,774,337,283","4,407,582",22.4633
15/07/2020,"360,135,195,302","5,449,464",22.6173
16/07/2020,"351,350,641,337","3,842,325",22.3647
17/07/2020,"409,082,757,613","3,404,237",22.3032
18/07/2020,"4,788,505,463","2,091,379",N/E
19/07/2020,"1,898,339,162","1,608,020",N/E
20/07/2020,"483,845,400,859","3,658,276",22.4897
21/07/2020,"331,502,475,000","3,537,258",22.6278
22/07/2020,"333,686,225,821","4,186,312",22.3597
23/07/2020,"343,883,589,923","4,902,702",22.251
24/07/2020,"355,536,738,551","4,733,920",22.3627
25/07/2020,"4,651,318,764","2,131,738",N/E
26/07/2020,"1,692,417,903","2,623,487",N/E
27/07/2020,"387,510,623,216","6,374,236",22.3842
28/07/2020,"327,084,653,412","5,034,954",22.0275
29/07/2020,"407,474,931,766","3,533,478",21.9615
30/07/2020,"442,864,446,669","6,200,216",21.9907
31/07/2020,"536,046,092,474","5,077,990",22.1727
1/8/2020,"6,091,988,226","3,688,167",N/E
2/8/2020,"2,491,848,129","2,183,610",N/E
3/8/2020,"413,707,114,552","4,642,736",22.2012
4/8/2020,"335,729,604,240","3,802,592",22.614
5/8/2020,"367,482,948,955","3,501,319",22.7845
6/8/2020,"364,223,368,472","3,269,126",22.4068
7/8/2020,"372,651,870,203","3,627,391",22.3652
8/8/2020,"4,830,473,603","2,660,550",N/E
9/8/2020,"1,901,285,997","1,576,546",N/E
10/8/2020,"383,151,749,156","4,857,364",22.4892
11/8/2020,"320,821,847,710","3,080,786",22.485
12/8/2020,"332,749,632,963","3,209,625",22.349
13/08/2020,"405,496,753,119","3,456,194",22.3457
14/08/2020,"465,943,477,669","5,332,767",22.2628
15/08/2020,"6,841,766,665","3,629,615",N/E
16/08/2020,"2,653,974,691","2,129,299",N/E
17/08/2020,"490,899,789,187","3,958,896",22.0313
18/08/2020,"359,073,970,460","4,054,902",22.057
19/08/2020,"347,917,249,251","3,084,422",22.1535
20/08/2020,"431,018,898,921","3,545,146",22.0527
21/08/2020,"379,558,791,753","3,677,324",22.176
22/08/2020,"5,062,268,131","2,569,578",N/E
23/08/2020,"1,882,326,067","1,709,707",N/E
24/08/2020,"393,168,268,635","3,305,388",22.0362
25/08/2020,"349,712,228,562","3,627,561",21.984
26/08/2020,"409,077,473,408","3,477,587",21.9723
27/08/2020,"422,716,977,279","3,279,350",21.9202
28/08/2020,"479,969,044,785","5,055,230",22.1168
29/08/2020,"7,285,335,792","3,612,613",N/E
30/08/2020,"2,806,699,045","2,085,969",N/E
31/08/2020,"589,414,432,736","6,907,469",21.8602
1/9/2020,"396,138,501,427","4,436,549",21.888
2/9/2020,"357,665,065,048","3,655,641",21.7445
3/9/2020,"369,233,647,097","3,856,192",21.8393
4/9/2020,"391,646,567,319","4,149,602",21.6383
5/9/2020,"5,482,702,497","2,235,733",N/E
6/9/2020,"2,140,319,933","1,561,390",N/E
7/9/2020,"336,752,694,740","3,879,927",21.6115
8/9/2020,"348,196,220,757","3,830,200",21.5887
9/9/2020,"337,455,907,121","3,035,601",21.7138
10/9/2020,"418,990,802,114","3,422,331",21.5377
11/9/2020,"457,128,942,733","5,152,222",21.2773
12/9/2020,"5,615,761,231","2,726,181",N/E
13/09/2020,"2,253,666,941","1,652,739",N/E
14/09/2020,"496,800,217,643","4,408,298",21.321
15/09/2020,"432,512,036,166","4,669,609",21.0728
16/09/2020,"4,703,188,444","2,189,515",N/E
17/09/2020,"590,171,462,193","3,596,385",21.0692
18/09/2020,"413,331,820,972","3,276,516",20.985
19/09/2020,"5,340,902,726","2,460,455",N/E
20/09/2020,"2,137,728,876","1,638,331",N/E
21/09/2020,"443,477,846,275","3,231,381",20.9697
22/09/2020,"387,765,433,211","2,897,298",21.505
23/09/2020,"382,292,821,120","2,910,703",21.5682
24/09/2020,"389,445,126,068","3,091,095",22.0897
25/09/2020,"443,210,736,690","3,434,071",22.3678
26/09/2020,"5,668,126,293","2,115,564",N/E
27/09/2020,"2,102,761,095","1,533,787",N/E
28/09/2020,"496,318,548,929","4,606,929",22.4402
29/09/2020,"440,468,957,978","4,129,672",22.4573
30/09/2020,"591,399,081,367","4,949,279",22.3598
1/10/2020,"444,646,412,800","4,586,266",22.1438
2/10/2020,"387,655,705,587","4,159,039",21.9562
3/10/2020,"5,799,564,336","2,529,858",N/E
4/10/2020,"2,471,362,390","1,956,393",N/E
5/10/2020,"432,310,436,726","3,530,218",21.7025
6/10/2020,"396,805,001,370","2,775,980",21.396
7/10/2020,"367,764,443,946","2,693,077",21.4507
8/10/2020,"385,952,123,780","2,824,563",21.493
9/10/2020,"400,056,367,394","3,495,803",21.4318
10/10/2020,"5,685,969,086","1,806,473",N/E
11/10/2020,"2,052,129,531","1,424,620",N/E
12/10/2020,"359,264,232,833","4,667,328",21.1822
13/10/2020,"415,858,675,888","3,552,332",21.2183
14/10/2020,"433,101,051,444","4,112,281",21.3677
15/10/2020,"463,708,056,184","4,958,017",21.2998
16/10/2020,"420,964,798,735","3,989,898",21.3832
17/10/2020,"5,934,236,699","2,508,304",N/E
18/10/2020,"2,406,076,018","1,685,879",N/E
19/10/2020,"490,221,570,581","3,658,627",21.1765
20/10/2020,"422,223,352,976","3,019,685",21.1342
21/10/2020,"396,480,745,319","3,353,331",21.0902
22/10/2020,"414,369,663,991","3,089,493",21.064
23/10/2020,"445,875,068,451","3,670,661",21.03
24/10/2020,"5,429,651,185","2,368,208",N/E
25/10/2020,"2,235,928,243","1,385,813",N/E
26/10/2020,"452,381,119,329","5,266,312",20.9205
27/10/2020,"393,370,204,602","3,453,134",20.9818
28/10/2020,"418,463,591,684","3,713,678",20.8798
29/10/2020,"487,932,643,290","4,475,273",21.1648
30/10/2020,"586,381,383,549","5,690,045",21.377
31/10/2020,"9,878,403,141","3,878,818",N/E
1/11/2020,"3,256,564,574","2,336,988",N/E
2/11/2020,"10,049,793,234","3,302,141",N/E
3/11/2020,"540,405,818,272","4,381,538",21.2508
4/11/2020,"400,767,087,126","4,025,085",21.1555
5/11/2020,"437,062,691,887","4,344,946",21.0345
6/11/2020,"421,379,177,757","4,163,455",20.7612
7/11/2020,"6,104,165,064","2,641,802",N/E
8/11/2020,"2,406,442,031","1,923,346",N/E
9/11/2020,"431,308,397,559","5,759,300",20.62
10/11/2020,"379,070,641,979","4,072,762",20.36
11/11/2020,"341,459,888,670","4,208,247",20.4018
12/11/2020,"468,200,425,216","4,706,823",20.5772
13/11/2020,"476,987,344,855","6,108,468",20.5303
14/11/2020,"9,475,500,177","4,618,052",N/E
15/11/2020,"3,698,109,165","3,025,703",N/E
16/11/2020,"6,719,675,020","3,606,324",N/E
17/11/2020,"607,240,189,544","4,854,688",20.4833
18/11/2020,"441,311,088,233","4,783,142",20.3212
19/11/2020,"410,417,646,507","5,097,400",20.2388
20/11/2020,"441,913,057,200","5,236,354",20.1858
21/11/2020,"6,449,842,331","3,105,616",N/E
22/11/2020,"2,500,939,457","2,223,476",N/E
23/11/2020,"450,082,689,466","4,960,395",20.1172
24/11/2020,"394,691,468,899","4,049,395",20.1012
25/11/2020,"568,878,393,172","3,917,344",20.0577
26/11/2020,"418,145,515,774","3,994,722",20.0465
27/11/2020,"532,459,069,336","6,052,780",20.0467
28/11/2020,"9,014,129,819","4,241,005",N/E
29/11/2020,"3,463,462,754","3,076,649",N/E
30/11/2020,"652,458,873,726","8,147,872",20.0777
1/12/2020,"444,957,039,532","6,722,647",20.1398
2/12/2020,"387,326,890,261","5,914,323",20.0508
3/12/2020,"430,231,548,148","5,670,920",20.0497
4/12/2020,"447,340,945,605","5,280,563",19.9083
5/12/2020,"8,022,497,473","4,381,990",N/E
6/12/2020,"3,038,161,576","2,837,956",N/E
7/12/2020,"503,747,578,821","4,786,650",19.7838
8/12/2020,"442,278,849,629","4,861,017",19.8213
9/12/2020,"395,545,287,080","4,942,780",19.7537
10/12/2020,"492,822,238,840","5,355,329",19.8368
11/12/2020,"513,977,196,951","6,573,805",19.9572
12/12/2020,"8,365,173,607","4,837,947",N/E
13/12/2020,"3,596,815,613","3,444,379",N/E
14/12/2020,"581,335,791,143","8,815,274",20.1075
15/12/2020,"488,096,842,221","8,393,213",20.1778
16/12/2020,"497,040,132,036","6,040,237",20.1113
17/12/2020,"574,087,025,935","5,930,495",19.9513
18/12/2020,"510,518,387,048","6,629,352",19.8173
19/12/2020,"10,046,606,740","4,485,328",N/E
20/12/2020,"3,845,462,458","2,914,825",N/E
21/12/2020,"534,458,430,355","5,683,705",19.9487
22/12/2020,"476,866,113,751","5,261,392",20.0905
23/12/2020,"488,379,547,520","5,718,386",20.0562
24/12/2020,"362,784,347,666","6,555,346",20.1175
25/12/2020,"2,642,102,289","1,653,779",N/E
26/12/2020,"5,840,455,766","2,691,000",N/E
27/12/2020,"3,020,433,296","1,928,274",N/E
28/12/2020,"519,238,591,792","4,553,215",19.8517
29/12/2020,"465,945,892,095","5,495,468",20.0477
30/12/2020,"542,159,078,829","5,933,589",19.9487
31/12/2020,"581,721,437,518","5,006,150",19.9352
1/1/2021,"3,978,999,781","2,366,434",N/E
2/1/2021,"6,225,255,151","3,922,240",N/E
3/1/2021,"3,602,370,852","2,757,216",N/E
4/1/2021,"490,926,770,879","5,746,533",19.9087
5/1/2021,"386,605,248,528","4,860,310",19.8457
6/1/2021,"361,559,814,582","3,966,727",19.9437
7/1/2021,"408,256,667,069","3,751,131",19.725
8/1/2021,"400,602,672,596","4,884,955",19.91
9/1/2021,"6,586,525,415","2,907,629",N/E
10/1/2021,"3,037,974,480","3,318,271",N/E
11/1/2021,"422,703,047,290","5,809,859",19.9705
12/1/2021,"387,033,606,720","4,031,486",20.113
13/01/2021,"411,285,994,863","4,469,359",19.9373
14/01/2021,"443,938,345,633","5,099,070",19.7935
15/01/2021,"468,521,308,500","7,135,511",19.7793
16/01/2021,"8,157,907,484","3,490,507",N/E
17/01/2021,"3,499,825,778","2,291,774",N/E
18/01/2021,"471,753,510,619","4,433,155",19.7875
19/01/2021,"369,232,676,202","4,038,564",19.757
20/01/2021,"394,337,199,483","3,547,819",19.6788
21/01/2021,"392,030,293,519","3,472,712",19.5793
22/01/2021,"425,287,385,885","6,025,592",19.7393
23/01/2021,"6,520,567,139","2,694,309",N/E
24/01/2021,"2,722,344,776","1,862,992",N/E
25/01/2021,"428,764,786,040","3,609,676",19.9833
26/01/2021,"350,814,066,628","3,968,162",20.1598
